#Sumatra CSVExporter
#Sat Jun 18 11:42:37 CEST 2011
time,setx,sety,setv,actx,acty,actv
243768077193886,0.0,0.0,0,7.544176E-4,9.557158E-4,1.6914393
243768080463179,0.0,0.0,0,7.5250387E-4,9.5722324E-4,1.6918963
243768104610480,0.0,0.0,0,-7.245813E-4,-4.0390395E-4,1.6863521
243768127083424,0.0,0.0,0,-6.294622E-4,-6.920186E-4,1.6833267
243768149221253,0.0,0.0,0,-6.224622E-4,-6.9832173E-4,1.6833535
243768158872718,0.0,0.0,0,-0.0017852053,-9.4381766E-4,1.6729258
243768172282977,0.0,0.0,0,-0.0017766285,-9.5986493E-4,1.6715646
243768180153512,0.0,0.0,0,-0.0017996011,-8.7256526E-4,1.6729467
243768211702106,0.0,0.0,0,-0.0016793357,-9.4158755E-4,1.6799926
243768230940606,0.0,0.0,0,-0.001674296,-9.5051964E-4,1.6801387
243768236215319,0.0,0.0,0,-0.0013184093,-9.005584E-4,1.6906966
243768242092185,0.0,0.0,0,-0.0013151402,-9.0532575E-4,1.6915323
243768258910322,0.0,0.0,0,3.8964066E-4,-3.1978383E-5,1.6864332
243768264508803,0.0,0.0,0,3.897222E-4,-3.0968513E-5,1.6866734
243768285001855,0.0,0.0,0,-3.8033575E-4,0.0019610883,1.683656
243768287900780,0.0,0.0,0,-3.828344E-4,0.0019606021,1.6836858
243768310497720,0.0,0.0,0,-4.038502E-4,0.0019563814,1.6839354
243768311899771,0.0,0.0,0,-3.623187E-4,0.0018208214,1.6819623
243768333704107,0.0,0.0,0,-3.81634E-4,0.0018168712,1.6818762
243768338503500,0.0,0.0,0,0.0014597189,-0.0015271663,1.6736767
243768356925892,0.0,0.0,0,0.0014740081,-0.0015133792,1.6724002
243768366789690,0.0,0.0,0,0.0011710903,-0.0017105119,1.6694965
243768380224263,0.0,0.0,0,0.001184383,-0.0017013348,1.6681271
243768391056531,0.0,0.0,0,-9.9197074E-5,-2.882212E-4,1.6770419
243768406696296,0.0,0.0,0,-9.750461E-5,-2.8879815E-4,1.676971
243768418398565,0.0,0.0,0,-1.3401374E-4,-2.5160346E-4,1.6801383
243768426695388,0.0,0.0,0,-1.3289576E-4,-2.5219578E-4,1.6803502
243768443535001,0.0,0.0,0,-2.573113E-4,-2.9395075E-4,1.6878442
243768450068319,0.0,0.0,0,-2.5644814E-4,-2.947041E-4,1.688396
243768469777276,0.0,0.0,0,1.1679023E-4,3.6748018E-4,1.6861087
243768473054268,0.0,0.0,0,1.161569E-4,3.6768088E-4,1.6863022
243768496323869,0.0,0.0,0,-4.5886452E-4,-3.6451247E-4,1.6855766
243768531394611,0.0,0.0,0,-2.6411895E-4,-5.056104E-4,1.6831254
243768542833894,0.0,0.0,0,-2.5947383E-4,-5.0800986E-4,1.6833173
243768549209178,0.0,0.0,0,-3.6671606E-4,-5.1141356E-4,1.682542
243768566171167,0.0,0.0,0,-3.6273128E-4,-5.1424745E-4,1.6826036
243768575784541,0.0,0.0,0,-0.0012702831,-0.0011397096,1.6832124
243768589285569,0.0,0.0,0,-0.0012630849,-0.0011476816,1.6833218
243768602168641,0.0,0.0,0,-2.3111793E-4,-4.938704E-4,1.6824598
243768612438062,0.0,0.0,0,-2.2862515E-4,-4.950293E-4,1.6824611
243768629130176,0.0,0.0,0,5.98807E-5,-1.1855027E-6,1.6864235
243768656117240,0.0,0.0,0,2.9646413E-4,0.0016690315,1.6852882
243768662689054,0.0,0.0,0,2.954982E-4,0.0016692029,1.6853093
243768680544141,0.0,0.0,0,2.776073E-4,0.0016722714,1.6856911
243768685247093,0.0,0.0,0,-0.0010632226,0.0016255383,1.6752083
243768711681846,0.0,0.0,0,-0.0010801831,0.0016143179,1.6739222
243768726096234,0.0,0.0,0,-0.001098884,0.0016016465,1.672493
