#Sumatra CSVExporter
#Sun Jun 19 00:13:52 CEST 2011
time,setv_x,setv_y,actualv_x,actualv_y,x,y,deltaT
289468876002710,-0.10000177,-0.09999824,-1.3901836E-5,2.2372096E-5,-1202.3165,-836.6924,0.0
289468899192888,-0.14969222,-0.10497952,-4.096097E-5,8.880179E-6,-1202.3213,-836.6921,0.023521240800619125
289468920150724,-0.20022035,-0.10985237,3.2927888E-4,-2.66559E-5,-1202.3099,-836.73883,0.020977288484573364
289468940272192,-0.25064993,-0.11411992,6.334823E-4,-3.3332864E-4,-1202.3029,-836.80963,0.02012997679412365
289468960328015,-0.29857108,-0.11408291,-2.8760088E-4,-0.0025124978,-1202.4398,-837.16486,0.020054608583450317
289468980355472,-0.34497494,-0.114856265,-0.0018847613,-0.0042277635,-1202.6448,-837.4673,0.020019760355353355
289469000896745,-0.37776133,-0.10646572,-0.009922928,-0.009895238,-1203.7938,-838.40326,0.020540868863463402
289469021166118,-0.4204822,-0.1077793,-0.012823663,-0.010911749,-1204.5225,-838.8547,0.020277880132198334
289469041315951,-0.44872037,-0.10109224,-0.022492817,-0.015585495,-1206.2976,-839.5638,0.02014942839741707
289469062144928,-0.48447132,-0.10134108,-0.028108109,-0.016896814,-1207.5376,-839.9216,0.02083059772849083
289469082336093,-0.5174176,-0.103656545,-0.03479439,-0.017132217,-1209.5374,-840.3898,0.020198054611682892
289469103215723,-0.55349016,-0.106601804,-0.039667416,-0.017119288,-1211.0197,-840.6893,0.02087274007499218
289469124640369,-0.57512224,-0.11227936,-0.051188603,-0.015766378,-1215.2415,-841.3112,0.021419379860162735
289469145180427,-0.62627107,-0.12146464,-0.048096385,-0.012903348,-1216.1179,-841.4401,0.0205222275108099
289469165188434,-0.697048,-0.13470529,-0.035807278,-0.008224129,-1216.2534,-841.5206,0.020034752786159515
289469186153159,-0.7742101,-0.14361547,-0.021067167,-0.0057730093,-1215.6604,-841.6407,0.020960267633199692
289469207191228,-0.8742105,-0.15732957,0.013369467,-0.0011079081,-1213.4731,-841.66095,0.021004032343626022
289469227245835,-0.91837275,-0.1635377,0.01006563,-4.130749E-4,-1212.9835,-841.54645,0.020084187388420105
289469248167607,-1.0183724,-0.1454471,0.110146426,-0.012052683,-1215.2211,-840.4895,0.020920556038618088
289469268162647,-1.0549431,-0.13711804,0.09850422,-0.01656504,-1215.883,-842.52203,0.02000517211854458
289469289166273,-1.0277625,-0.20059416,0.0573088,0.0107318275,-1221.6555,-840.6734,0.02099471166729927
289469322719477,-0.92776304,-0.23493303,-0.06585331,0.023161516,-1233.8811,-840.1201,0.03353416174650192
289469342801234,-0.8537008,-0.17800634,-0.121709354,-0.0070865876,-1242.746,-841.55365,0.02006554789841175
