#Sumatra CSVExporter
#Sun Feb 09 00:55:17 CET 2014
t,px,py,vx,vy,ax,ay,rot
0.0000,0.0000,0.0000,0.0000,0.0000,2.3524,1.0390,0.0000
0.0100,0.0001,0.0001,0.0234,0.0104,2.3231,1.0357,0.0000
0.0200,0.0005,0.0002,0.0465,0.0207,2.2938,1.0323,0.0000
0.0300,0.0010,0.0005,0.0693,0.0310,2.2644,1.0290,0.0000
0.0400,0.0019,0.0008,0.0918,0.0413,2.2351,1.0256,0.0000
0.0500,0.0029,0.0013,0.1140,0.0515,2.2058,1.0222,0.0000
0.0600,0.0041,0.0019,0.1359,0.0617,2.1764,1.0189,0.0000
0.0700,0.0056,0.0025,0.1575,0.0719,2.1471,1.0155,0.0000
0.0800,0.0073,0.0033,0.1788,0.0820,2.1178,1.0121,0.0000
0.0900,0.0092,0.0042,0.1998,0.0922,2.0884,1.0088,0.0000
0.1000,0.0113,0.0051,0.2206,0.1022,2.0591,1.0054,0.0000
0.1100,0.0136,0.0062,0.2410,0.1123,2.0298,1.0020,0.0000
0.1200,0.0161,0.0074,0.2612,0.1223,2.0004,0.9987,0.0000
0.1300,0.0188,0.0087,0.2810,0.1322,1.9711,0.9953,0.0000
0.1400,0.0217,0.0100,0.3006,0.1422,1.9418,0.9920,0.0000
0.1500,0.0248,0.0115,0.3199,0.1521,1.9124,0.9886,0.0000
0.1600,0.0281,0.0131,0.3388,0.1619,1.8831,0.9852,0.0000
0.1700,0.0316,0.0147,0.3575,0.1718,1.8537,0.9819,0.0000
0.1800,0.0353,0.0165,0.3759,0.1816,1.8244,0.9785,0.0000
0.1900,0.0391,0.0184,0.3940,0.1913,1.7951,0.9751,0.0000
0.2000,0.0431,0.0203,0.4118,0.2011,1.7657,0.9718,0.0000
0.2100,0.0473,0.0224,0.4293,0.2108,1.7364,0.9684,0.0000
0.2200,0.0517,0.0245,0.4465,0.2205,1.7071,0.9651,0.0000
0.2300,0.0563,0.0268,0.4635,0.2301,1.6777,0.9617,0.0000
0.2400,0.0610,0.0291,0.4801,0.2397,1.6484,0.9583,0.0000
0.2500,0.0659,0.0316,0.4964,0.2493,1.6191,0.9550,0.0000
0.2600,0.0709,0.0341,0.5125,0.2588,1.5897,0.9516,0.0000
0.2700,0.0761,0.0368,0.5282,0.2683,1.5604,0.9482,0.0000
