#Sumatra CSVExporter
#Sun Feb 09 00:55:17 CET 2014
t,px,py,vx,vy,ax,ay,rot
0.0000,0.0000,0.0000,0.0000,0.0000,2.9702,0.0000,0.0000
0.0100,0.0001,0.0000,0.0296,0.0000,2.9407,0.0000,0.0000
0.0200,0.0006,0.0000,0.0588,0.0000,2.9111,0.0000,0.0000
0.0300,0.0013,0.0000,0.0878,0.0000,2.8816,0.0000,0.0000
0.0400,0.0023,0.0000,0.1164,0.0000,2.8520,0.0000,0.0000
0.0500,0.0037,0.0000,0.1448,0.0000,2.8225,0.0000,0.0000
0.0600,0.0052,0.0000,0.1729,0.0000,2.7929,0.0000,0.0000
0.0700,0.0071,0.0000,0.2007,0.0000,2.7633,0.0000,0.0000
0.0800,0.0093,0.0000,0.2282,0.0000,2.7338,0.0000,0.0000
0.0900,0.0117,0.0000,0.2554,0.0000,2.7042,0.0000,0.0000
0.1000,0.0144,0.0000,0.2822,0.0000,2.6747,0.0000,0.0000
0.1100,0.0173,0.0000,0.3088,0.0000,2.6451,0.0000,0.0000
0.1200,0.0205,0.0000,0.3351,0.0000,2.6156,0.0000,0.0000
0.1300,0.0240,0.0000,0.3612,0.0000,2.5860,0.0000,0.0000
0.1400,0.0278,0.0000,0.3869,0.0000,2.5565,0.0000,0.0000
0.1500,0.0318,0.0000,0.4123,0.0000,2.5269,0.0000,0.0000
0.1600,0.0360,0.0000,0.4374,0.0000,2.4974,0.0000,0.0000
0.1700,0.0405,0.0000,0.4622,0.0000,2.4678,0.0000,0.0000
0.1800,0.0452,0.0000,0.4868,0.0000,2.4382,0.0000,0.0000
0.1900,0.0502,0.0000,0.5110,0.0000,2.4087,0.0000,0.0000
0.2000,0.0555,0.0000,0.5349,0.0000,2.3791,0.0000,0.0000
0.2100,0.0609,0.0000,0.5586,0.0000,2.3496,0.0000,0.0000
0.2200,0.0666,0.0000,0.5819,0.0000,2.3200,0.0000,0.0000
0.2300,0.0726,0.0000,0.6050,0.0000,2.2905,0.0000,0.0000
0.2400,0.0787,0.0000,0.6277,0.0000,2.2609,0.0000,0.0000
0.2500,0.0851,0.0000,0.6502,0.0000,2.2314,0.0000,0.0000
0.2600,0.0917,0.0000,0.6724,0.0000,2.2018,0.0000,0.0000
0.2700,0.0986,0.0000,0.6942,0.0000,2.1723,0.0000,0.0000
0.2800,0.1056,0.0000,0.7158,0.0000,2.1427,0.0000,0.0000
0.2900,0.1129,0.0000,0.7371,0.0000,2.1131,0.0000,0.0000
0.3000,0.1204,0.0000,0.7581,0.0000,2.0836,0.0000,0.0000
0.3100,0.1280,0.0000,0.7788,0.0000,2.0540,0.0000,0.0000
0.3200,0.1359,0.0000,0.7992,0.0000,2.0245,0.0000,0.0000
0.3300,0.1440,0.0000,0.8192,0.0000,1.9949,0.0000,0.0000
0.3400,0.1523,0.0000,0.8391,0.0000,1.9654,0.0000,0.0000
0.3500,0.1608,0.0000,0.8586,0.0000,1.9358,0.0000,0.0000
0.3600,0.1695,0.0000,0.8778,0.0000,1.9063,0.0000,0.0000
0.3700,0.1784,0.0000,0.8967,0.0000,1.8767,0.0000,0.0000
0.3800,0.1874,0.0000,0.9153,0.0000,1.8472,0.0000,0.0000
0.3900,0.1967,0.0000,0.9336,0.0000,1.8176,0.0000,0.0000
0.4000,0.2061,0.0000,0.9517,0.0000,1.7880,0.0000,0.0000
0.4100,0.2157,0.0000,0.9694,0.0000,1.7585,0.0000,0.0000
0.4200,0.2255,0.0000,0.9868,0.0000,1.7289,0.0000,0.0000
0.4300,0.2354,0.0000,1.0040,0.0000,1.6994,0.0000,0.0000
0.4400,0.2456,0.0000,1.0208,0.0000,1.6698,0.0000,0.0000
0.4500,0.2558,0.0000,1.0374,0.0000,1.6403,0.0000,0.0000
0.4600,0.2663,0.0000,1.0536,0.0000,1.6107,0.0000,0.0000
0.4700,0.2769,0.0000,1.0696,0.0000,1.5812,0.0000,0.0000
0.4800,0.2877,0.0000,1.0852,0.0000,1.5516,0.0000,0.0000
0.4900,0.2986,0.0000,1.1006,0.0000,1.5221,0.0000,0.0000
0.5000,0.3097,0.0000,1.1157,0.0000,1.4925,0.0000,0.0000
0.5100,0.3209,0.0000,1.1305,0.0000,1.4629,0.0000,0.0000
0.5200,0.3323,0.0000,1.1449,0.0000,1.4334,0.0000,0.0000
0.5300,0.3438,0.0000,1.1591,0.0000,1.4038,0.0000,0.0000
0.5400,0.3555,0.0000,1.1730,0.0000,1.3743,0.0000,0.0000
0.5500,0.3673,0.0000,1.1866,0.0000,1.3447,0.0000,0.0000
0.5600,0.3792,0.0000,1.1999,0.0000,1.3152,0.0000,0.0000
0.5700,0.3913,0.0000,1.2129,0.0000,1.2856,0.0000,0.0000
0.5800,0.4035,0.0000,1.2256,0.0000,1.2561,0.0000,0.0000
0.5900,0.4158,0.0000,1.2380,0.0000,1.2265,0.0000,0.0000
0.6000,0.4282,0.0000,1.2502,0.0000,1.1970,0.0000,0.0000
0.6100,0.4408,0.0000,1.2620,0.0000,1.1674,0.0000,0.0000
0.6200,0.4535,0.0000,1.2735,0.0000,1.1378,0.0000,0.0000
0.6300,0.4663,0.0000,1.2847,0.0000,1.1083,0.0000,0.0000
