#Sumatra CSVExporter
#Sun Feb 09 00:55:17 CET 2014
t,px,py,vx,vy,ax,ay,rot
0.0000,0.0000,0.0000,0.0000,0.0000,0.7941,2.4714,0.0000
0.0100,0.0000,0.0001,0.0079,0.0245,0.7814,2.4308,0.0000
0.0200,0.0002,0.0005,0.0156,0.0486,0.7686,2.3901,0.0000
0.0300,0.0004,0.0011,0.0232,0.0723,0.7559,2.3495,0.0000
0.0400,0.0006,0.0019,0.0307,0.0956,0.7431,2.3089,0.0000
0.0500,0.0010,0.0030,0.0381,0.1185,0.7304,2.2682,0.0000
0.0600,0.0014,0.0043,0.0454,0.1410,0.7176,2.2276,0.0000
0.0700,0.0019,0.0058,0.0525,0.1630,0.7049,2.1870,0.0000
0.0800,0.0024,0.0076,0.0594,0.1847,0.6921,2.1463,0.0000
0.0900,0.0031,0.0095,0.0663,0.2060,0.6793,2.1057,0.0000
0.1000,0.0038,0.0117,0.0730,0.2268,0.6666,2.0651,0.0000
0.1100,0.0045,0.0141,0.0796,0.2473,0.6538,2.0244,0.0000
0.1200,0.0054,0.0166,0.0861,0.2673,0.6411,1.9838,0.0000
0.1300,0.0062,0.0194,0.0925,0.2869,0.6283,1.9432,0.0000
0.1400,0.0072,0.0224,0.0987,0.3062,0.6156,1.9026,0.0000
0.1500,0.0082,0.0255,0.1048,0.3250,0.6028,1.8619,0.0000
0.1600,0.0093,0.0289,0.1107,0.3434,0.5901,1.8213,0.0000
0.1700,0.0104,0.0324,0.1166,0.3614,0.5773,1.7807,0.0000
0.1800,0.0116,0.0361,0.1223,0.3790,0.5646,1.7400,0.0000
0.1900,0.0129,0.0400,0.1279,0.3962,0.5518,1.6994,0.0000
0.2000,0.0142,0.0440,0.1333,0.4130,0.5391,1.6588,0.0000
0.2100,0.0155,0.0482,0.1386,0.4294,0.5263,1.6181,0.0000
0.2200,0.0170,0.0526,0.1438,0.4454,0.5136,1.5775,0.0000
0.2300,0.0184,0.0571,0.1489,0.4610,0.5008,1.5369,0.0000
0.2400,0.0199,0.0618,0.1539,0.4761,0.4880,1.4963,0.0000
0.2500,0.0215,0.0666,0.1587,0.4909,0.4753,1.4556,0.0000
0.2600,0.0231,0.0716,0.1634,0.5052,0.4625,1.4150,0.0000
0.2700,0.0248,0.0768,0.1679,0.5192,0.4498,1.3744,0.0000
0.2800,0.0265,0.0820,0.1724,0.5327,0.4370,1.3337,0.0000
0.2900,0.0282,0.0874,0.1767,0.5459,0.4243,1.2931,0.0000
0.3000,0.0300,0.0929,0.1808,0.5586,0.4115,1.2525,0.0000
0.3100,0.0318,0.0986,0.1849,0.5709,0.3988,1.2118,0.0000
0.3200,0.0337,0.1043,0.1888,0.5828,0.3860,1.1712,0.0000
0.3300,0.0356,0.1102,0.1926,0.5943,0.3733,1.1306,0.0000
0.3400,0.0375,0.1162,0.1963,0.6054,0.3605,1.0900,0.0000
0.3500,0.0395,0.1223,0.1998,0.6161,0.3478,1.0493,0.0000
0.3600,0.0415,0.1286,0.2032,0.6264,0.3350,1.0087,0.0000
0.3700,0.0436,0.1349,0.2065,0.6363,0.3223,0.9681,0.0000
0.3800,0.0457,0.1413,0.2097,0.6458,0.3095,0.9274,0.0000
0.3900,0.0478,0.1478,0.2127,0.6548,0.2968,0.8868,0.0000
0.4000,0.0499,0.1544,0.2156,0.6635,0.2840,0.8462,0.0000
0.4100,0.0521,0.1610,0.2184,0.6718,0.2712,0.8055,0.0000
0.4200,0.0543,0.1678,0.2210,0.6796,0.2585,0.7649,0.0000
0.4300,0.0565,0.1746,0.2236,0.6871,0.2457,0.7243,0.0000
0.4400,0.0588,0.1815,0.2260,0.6941,0.2330,0.6836,0.0000
0.4500,0.0610,0.1885,0.2282,0.7007,0.2202,0.6430,0.0000
0.4600,0.0633,0.1956,0.2304,0.7070,0.2075,0.6024,0.0000
0.4700,0.0656,0.2027,0.2324,0.7128,0.1947,0.5618,0.0000
0.4800,0.0680,0.2098,0.2343,0.7182,0.1820,0.5211,0.0000
0.4900,0.0703,0.2170,0.2360,0.7232,0.1692,0.4805,0.0000
0.5000,0.0727,0.2243,0.2376,0.7278,0.1565,0.4399,0.0000
0.5100,0.0751,0.2316,0.2391,0.7320,0.1437,0.3992,0.0000
0.5200,0.0775,0.2389,0.2405,0.7358,0.1310,0.3586,0.0000
0.5300,0.0799,0.2463,0.2418,0.7392,0.1182,0.3180,0.0000
0.5400,0.0823,0.2537,0.2429,0.7422,0.1055,0.2773,0.0000
0.5500,0.0847,0.2611,0.2439,0.7447,0.0927,0.2367,0.0000
0.5600,0.0872,0.2686,0.2447,0.7469,0.0800,0.1961,0.0000
0.5700,0.0896,0.2761,0.2455,0.7486,0.0672,0.1555,0.0000
0.5800,0.0921,0.2836,0.2461,0.7500,0.0544,0.1148,0.0000
0.5900,0.0946,0.2911,0.2466,0.7509,0.0417,0.0742,0.0000
0.6000,0.0970,0.2986,0.2469,0.7515,0.0289,0.0336,0.0000
0.6100,0.0995,0.3061,0.2471,0.7516,0.0162,-0.0071,0.0000
0.6200,0.1020,0.3136,0.2472,0.7513,0.0034,-0.0477,0.0000
0.6300,0.1044,0.3211,0.2472,0.7507,-0.0093,-0.0883,0.0000
0.6400,0.1069,0.3286,0.2471,0.7496,-0.0221,-0.1290,0.0000
0.6500,0.1094,0.3361,0.2468,0.7481,-0.0348,-0.1696,0.0000
0.6600,0.1119,0.3436,0.2464,0.7462,-0.0476,-0.2102,0.0000
0.6700,0.1143,0.3510,0.2458,0.7439,-0.0603,-0.2508,0.0000
0.6800,0.1168,0.3585,0.2452,0.7412,-0.0731,-0.2915,0.0000
0.6900,0.1192,0.3659,0.2444,0.7380,-0.0858,-0.3321,0.0000
0.7000,0.1217,0.3732,0.2434,0.7345,-0.0986,-0.3727,0.0000
0.7100,0.1241,0.3805,0.2424,0.7306,-0.1113,-0.4134,0.0000
0.7200,0.1265,0.3878,0.2412,0.7263,-0.1241,-0.4540,0.0000
0.7300,0.1289,0.3951,0.2399,0.7215,-0.1369,-0.4946,0.0000
0.7400,0.1313,0.4023,0.2385,0.7164,-0.1496,-0.5353,0.0000
0.7500,0.1337,0.4094,0.2369,0.7108,-0.1624,-0.5759,0.0000
0.7600,0.1360,0.4165,0.2352,0.7048,-0.1751,-0.6165,0.0000
0.7700,0.1384,0.4235,0.2334,0.6985,-0.1879,-0.6572,0.0000
0.7800,0.1407,0.4304,0.2315,0.6917,-0.2006,-0.6978,0.0000
0.7900,0.1430,0.4373,0.2294,0.6845,-0.2134,-0.7384,0.0000
0.8000,0.1453,0.4441,0.2272,0.6769,-0.2261,-0.7790,0.0000
0.8100,0.1476,0.4509,0.2249,0.6689,-0.2389,-0.8197,0.0000
0.8200,0.1498,0.4575,0.2224,0.6605,-0.2516,-0.8603,0.0000
0.8300,0.1520,0.4641,0.2198,0.6517,-0.2644,-0.9009,0.0000
0.8400,0.1542,0.4705,0.2171,0.6425,-0.2771,-0.9416,0.0000
0.8500,0.1563,0.4769,0.2143,0.6329,-0.2899,-0.9822,0.0000
0.8600,0.1585,0.4832,0.2113,0.6229,-0.3026,-1.0228,0.0000
0.8700,0.1606,0.4894,0.2082,0.6124,-0.3154,-1.0635,0.0000
0.8800,0.1626,0.4954,0.2050,0.6016,-0.3281,-1.1041,0.0000
0.8900,0.1647,0.5014,0.2017,0.5904,-0.3409,-1.1447,0.0000
0.9000,0.1667,0.5073,0.1982,0.5787,-0.3537,-1.1853,0.0000
0.9100,0.1686,0.5130,0.1946,0.5667,-0.3664,-1.2260,0.0000
0.9200,0.1706,0.5186,0.1909,0.5542,-0.3792,-1.2666,0.0000
0.9300,0.1725,0.5241,0.1870,0.5413,-0.3919,-1.3072,0.0000
0.9400,0.1743,0.5294,0.1830,0.5281,-0.4047,-1.3479,0.0000
0.9500,0.1761,0.5346,0.1789,0.5144,-0.4174,-1.3885,0.0000
0.9600,0.1779,0.5397,0.1747,0.5003,-0.4302,-1.4291,0.0000
0.9700,0.1796,0.5446,0.1703,0.4858,-0.4429,-1.4698,0.0000
0.9800,0.1813,0.5494,0.1658,0.4709,-0.4557,-1.5104,0.0000
0.9900,0.1829,0.5540,0.1612,0.4556,-0.4684,-1.5510,0.0000
1.0000,0.1845,0.5585,0.1565,0.4399,-0.4812,-1.5916,0.0000
1.0100,0.1861,0.5628,0.1516,0.4237,-0.4939,-1.6323,0.0000
1.0200,0.1875,0.5670,0.1466,0.4072,-0.5067,-1.6729,0.0000
1.0300,0.1890,0.5710,0.1415,0.3903,-0.5194,-1.7135,0.0000
1.0400,0.1904,0.5748,0.1362,0.3730,-0.5322,-1.7542,0.0000
1.0500,0.1917,0.5784,0.1308,0.3552,-0.5449,-1.7948,0.0000
1.0600,0.1930,0.5819,0.1253,0.3371,-0.5577,-1.8354,0.0000
1.0700,0.1942,0.5852,0.1197,0.3185,-0.5705,-1.8761,0.0000
1.0800,0.1954,0.5883,0.1139,0.2995,-0.5832,-1.9167,0.0000
1.0900,0.1965,0.5912,0.1080,0.2802,-0.5960,-1.9573,0.0000
1.1000,0.1975,0.5939,0.1020,0.2604,-0.6087,-1.9980,0.0000
1.1100,0.1985,0.5964,0.0958,0.2402,-0.6215,-2.0386,0.0000
1.1200,0.1995,0.5987,0.0895,0.2196,-0.6342,-2.0792,0.0000
1.1300,0.2003,0.6008,0.0914,0.2139,1.5229,1.9386,0.0000
1.1400,0.2013,0.6030,0.1063,0.2330,1.4573,1.8645,0.0000
1.1500,0.2025,0.6054,0.1205,0.2512,1.3917,1.7904,0.0000
1.1600,0.2037,0.6081,0.1341,0.2688,1.3261,1.7162,0.0000
1.1700,0.2051,0.6108,0.1470,0.2856,1.2605,1.6421,0.0000
1.1800,0.2067,0.6138,0.1593,0.3016,1.1949,1.5680,0.0000
1.1900,0.2083,0.6169,0.1709,0.3169,1.1293,1.4939,0.0000
1.2000,0.2101,0.6201,0.1819,0.3315,1.0637,1.4197,0.0000
1.2100,0.2120,0.6235,0.1922,0.3453,0.9981,1.3456,0.0000
1.2200,0.2139,0.6270,0.2019,0.3584,0.9325,1.2715,0.0000
1.2300,0.2160,0.6306,0.2109,0.3707,0.8669,1.1974,0.0000
1.2400,0.2181,0.6344,0.2192,0.3824,0.8013,1.1232,0.0000
